ID,Name,Post,Gender,Age,Salary,Phone Number,Address
S000,tufailshah,CEO,Male,30,150000,1234567890,IST
S001,ibraheemlughmani,Manager,Male,25,100000,1234567891,IST
S002,abdulrafayamir,Manager,Male,25,100000,1234567892,IST
S003,ahmedbilal,Manager,Male,25,100000,1234567893,IST
S004,riffaheman,Manager,Female,25,100000,1234567894,IST
S005,abdullahijaz,Manager,Male,25,100000,1234567895,IST
S006,chhumam,Sales,Male,25,"20,000",1234567896,IST
S007,muhammadhaseeb ,Sales,Male,25,"20,000",1234567897,IST
S008,salvasantos,Sales,Male,27,"20,000",1234567898,IST
S009,bilalkhan,Sales,Male,22,"20,000",1234567899,G-10
S010,ahmedhassan,Sales,Male,29,"20,000",2345678901,G-10
S011,hassankhan,Sales,Male,29,"20,000",1234567089,G-10
S012,ayeshaomer,Sales,Female,21,"20,000",1234560789,G-10
S013,rizwankhan,Sales,Male,22,"20,000",1234506789,G-10
S014,fakahrealam,Sales,Male,25,"20,000",1230456789,G-10
S015,shaheenshah,Sales,Male,23,"20,000",1203456789,G-10
S016,zamankhan,Sales,Male,24,"20,000",1023456789,G-10
S017,abdullahashraf,Sales,Male,25,"25,000",1123456789,G-10
S018,murtazakhan,Sales,Male,22,"25,000",1232456789,G-10
S019,muhammaduzair,Sales,Male,22,"25,000",1234156789,G-11
S020,umairahmed,Marketing,Male,24,"25,000",1234561789,G-11
S021,waleedahmed,Marketing,Male,27,"25,000",1234567189,G-11
S022,saadullah,Marketing,Male,27,"25,000",1234567819,G-11
S023,ilhaankhan,Marketing,Male,20,"25,000",1223456789,G-11
S024,ashirwajahat,Marketing,Male,26,"30,000",1234256789,G-11
S025,asadkhan,Marketing,Male,27,"30,000",1234562789,G-11
S026,maryumawan,Marketing,Female,24,"30,000",1234567829,G-11
S027,amnailyas,Marketing,Male,28,"30,000",1323456789,G-11
S028,ammarahmed,Operations,Male,21,"30,000",123456789,G-11
S029,ammaraarshad,Operations,Female,32,"30,000",1234356789,G-9
S030,subhansarfarz,Operations,Male,22,"30,000",1234567389,G-9
S031,shizakhan,Operations,Female,26,"35,000",1234567849,G-9
S032,fizakhan,Operations,Female,23,"35,000",1234567859,G-9
S033,zainkhan,Operations,Male,28,"35,000",1234567896,G-9
S034,farazshah,Operations,Male,39,"35,000",1234567897,G-9
S035,wahabraiz,Management,Male,28,"35,000",1423456789,G-8
S036,muhammadriaz,Management,Male,23,"35,000",1234456789,G-8
S037,asifali,Management,Male,29,"35,000",1234564789,G-8
S038,alimuhammad,Management,Male,31,"50,000",1234567489,G-8
S039,babarazam,Management,Male,25,"50,000",1234567849,G-8
S040,shadabkhan,Management,Male,23,"50,000",1523456789,G-8
S041,shahanakhan,Management,Female,22,"50,000",1235456789,G-8
S042,farzanarauf,Management,Female,24,"50,000",1234565789,G-6
S043,mashalkhan,Management,Female,25,"20,000",1234567589,G-6
S044,ilyasahmed,Supliers,Male,28,60000,1234567859,G-6
S045,rafayqureshi,Supliers,Male,20,"60,000",1234567869,G-6
S046,hashirwajahat,Supliers,Male,22,"60,000",1234567879,G-7
S047,muhammadkumail ,Supliers,Male,28,"60,000",1234567889,G-7
S048,shahabkhan,Supliers,Male,29,"60,000",1234567859,G-7
